"organization","category","description","url","states","view","download","transmit"
"Charles R. Barker, Jr. DO","provider","","https://www.followmyhealth.com/","","y","y",""
"Charleston Area Medical Center","hospital","","https://www.camcelink.org/CAMC/paLogon.aspx","WV","y","y","y"
"Charlevoix Area Hospital","hospital","","http://www.cah.org/","MI","y","y","y"
"Chase County Community Hospital","hospital","","https://chasecountyhospital.iqhealth.com/","NE","y","y","y"
"Chenango Memorial Hospital","hospital","","http://www.uhs.net/patients-visitors/patient-relations/","NY","y","y","y"
"Cherokee Medical Center","hospital","","http://www.cherokeemedicalcenter.com/cherokee-medical-center/myhealthhomepatientportal.aspx","AL","y","y","y"
"Cherokee Regional Medical Center","hospital","","http://www.cherokeermc.org/patientinformation.php","IA","y","y","y"
"Cherokee Women's Health Specialists","provider","","https://www.followmyhealth.com/","","y","y",""
"Chesapeake Internist","provider","","https://www.followmyhealth.com/","","y","y",""
"Cheshire Medical Center","provider","","https://www.followmyhealth.com/","","y","y",""
"Cheshire Medical Center/Dartmouth-Hitchcock Keene","provider","","https://www.followmyhealth.com/","","y","y",""
"Chest Medicine Associates","provider","","https://www.followmyhealth.com/","","y","y",""
"Chestatee Regional Hospital","hospital","","http://chestateeregionalhospital.com/getpage.php?name=records&sub=Patient%20Info","GA","","",""
"Chester County Hospital","hospital","","https://www.healtheme-portal.com/tcch/PaLogon.aspx","PA","y","y","y"
"CHI St. Francis Health","hospital","","http://www.sfcare.org/PatientGuide","MN","y","",""
"CHI St. Joseph's Health","hospital","","http://www.chistjosephshealth.org/patients-and-visitors/medical-records","MN","y","",""
"Chicago Heart &amp; Vascular Consultants","provider","","https://www.followmyhealth.com/","","y","y",""
"Chico Immediate Care","provider","","https://www.followmyhealth.com/","","y","y",""
"Childhood Health Associates of Salem","provider","","https://www.followmyhealth.com/","","y","y",""
"Children's Medical Group","provider","","https://www.followmyhealth.com/","","y","y",""
"Children's Medical Group (MS)","provider","","https://www.followmyhealth.com/","","y","y",""
"Children's of Alabama","provider","","https://www.followmyhealth.com/","","y","y",""
"Children's of Alabama (Acute)","provider","","https://www.followmyhealth.com/","","y","y",""
"Children's Specialty Center of Nevada - Las Vegas","provider","","https://www.followmyhealth.com/","","y","y",""
"Children's Hospital and Medical Center","hospital","","http://www.childrensomaha.org/Portal","NE","y","y","y"
"Children's Hospital Boston","provider","Manage appointments, view portions of your child's health record, contact your clinician directly or pay your bill online. It's easy to get started. Just complete our sign up form to begin the process today.","https://apps.childrenshospital.org/mychildrens/index.cfm?","MA","y","",""
"Children's Hospital Central California","hospital","","http://www.valleychildrens.org/","CA","y","y","y"
"Children's Hospital Colorado","provider","As a private, not-for-profit pediatric healthcare network, Children's Hospital Colorado is 100% dedicated to caring for kids at all ages and stages of growth. We have more than 1,000 pediatric specialists and more than 3,000 full-time employees helping to carry out our mission.","https://mychart.childrenscolorado.org/MyChart/","CO","y","",""
"Children's Hospital Los Angeles","hospital","","http://www.chla.org/mykids-patient-portal","CA","y","","y"
"Children's Hospital of Michigan","hospital","","http://www.childrensdmc.org/PatientPortal","MI","y","",""
"Children's Hospital of Orange County","hospital","","http://www.choc.org/choc-link/","CA","y","y","y"
"Children's Hospital of Philadelphia","provider","The Children's Hospital of Philadelphia has fostered medical discoveries and innovations that have improved pediatric healthcare and saved countless children’s lives. Over 150 years of innovation and service to our patients, their families and our community, reflect an ongoing commitment to exceptional patient care.","https://mychart.chop.edu/","PA","y","y",""
"Children's Hospital of Wisconsin","provider","Nothing matters more than our children. At Children's Hospital of Wisconsin, we believe that kids deserve the best. Our belief drives everything we do. It defines our vision for the future and our mission for today.","https://mychart.chw.org/","WI","y","y",""
"Children's Hospitals and Clinics of Minnesota","hospital","","https://cernerhealth.com/oauth/re-authenticate?client_id=childrensmn&redirect_uri=https://mychildrens.iqhealth.com/login/cerner-health/authenticated&sign_in_only=on","MN","y","",""
"Children's Medical Center of Dallas","hospital","","https://online.childrens.com/wps/portal/cmcole/login/!ut/p/a1/04_Sj9CPykssy0xPLMnMz0vMAfGjzOLd_FwDw7zdDQ3cPUINDTw93DydfQ2djAxczIEKIoEKDHAARwNC-gtyQxUBKQkWug!!/dl5/d5/L2dBISEvZ0FBIS9nQSEh/","TX","y","y","y"
"Children's Mercy Hospitals and Clinics","hospital","","http://www.childrensmercy.org/MyChildrensMercy/","MO","y","",""
"Children's National Medical Center","hospital","","https://mycw26.eclinicalweb.com/portal2298/jsp/100mp/login.jsp","DC","","",""
"Chillicothe Hospital District","hospital","","http://www.chillhd.org/","TX","y","",""
"Chilton Medical Center","hospital","","http://www.chiltonhealth.org/birth-certificate-medical-record","NJ","y","y","y"
"Chippewa County-Montevideo Hospital","hospital","","https://patient.montevideomedical.com/Phm-PhmPage.HomePage.WR.mthr?hcis=CIPWEB.LIVEF&application=PHM","MN","y","y","y"
"Chris R Gelvin MD PA","provider","","https://www.followmyhealth.com/","","y","y",""
"Christian Hospital","hospital","","http://www.christianhospital.org/PatientsVisitors/RequestMedicalRecords.aspx","MO","y","y",""
"Christiana Care Health System","hospital","","http://www.christianacare.org/myhealth","DE","y","y","y"
"Christine Leehealey, MD","provider","","https://www.followmyhealth.com/","","y","y",""
"CHRISTUS Hospital-St. Elizabeth","hospital","","http://www.christushealth.org/portals","TX","y","y",""
"CHRISTUS Jasper Memorial Hospital","hospital","","http://www.christussetx.org/ObtainMyMedicalRecord","TX","y","y",""
"CHRISTUS Santa Rosa Health System","hospital","","http://www.christussantarosa.org/","TX","y","y",""
"CHRISTUS St. Frances Cabrini Hospital","hospital","","http://christusstfrancescabrini.org/","LA","y","y","y"
"CHRISTUS St. Michael Health System","hospital","","http://www.christushealth.org/portals","TX","y","y","y"
"Christus St. Vincent Regional Medical Center","hospital","","http://www.stvin.org/myhealth","NM","y","y","y"
"Cibola General Hospital","hospital","","http://www.cibolahospital.com/getpage.php?name=patientinfo&sub=Patients+%26+Visitors+","NM","y","y",""
"CIC Associates, P.C.","provider","","https://www.followmyhealth.com/","","y","y",""
"Cigna Medical Group (Arizona)","provider","","https://www.followmyhealth.com/","","y","y",""
"Circle Health","provider","Circle Health Patient Portal is a personalized online tool for Lowell General Hospital patients that helps keep you up to date on your healthcare information by giving you convenient access to your hospital test results and medical records. Circle Health Patient Portal is accessible through the Internet, so you can access it from virtually anywhere you would like – at a time that’s most convenient for you.\n\nCircle Health Patient Portal is completely secure, so you can be confident that your private information is protected. Only you or an authorized family member can access your personal Circle Health Patient Portal.","http://www.lowellgeneral.org/patientportal","MA","y","",""
"Citizens Medical Center","hospital","","http://citizensmedicalcenter.org/hospital-services/for-our-patients/","TX","y","y","y"
"Citizens Memorial Hospital","hospital","","https://www.citizensmemorial.com/patientportal/index.html","MO","y","y","y"
"CITRUS MEMORIAL HEALTH FOUNDATION INC","provider","Citrus Memorial Hospital was founded in 1957 as the area’s first healthcare institution for residents in Citrus and surrounding counties. Over the years, the hospital has evolved into a comprehensive system equipped to meet the needs of the growing community.","https://cernerhealth.com/oauth/authenticate?client_id=217ab60d87604aafb51b609eb86721dd&redirect_uri=https://CitrusHealth.iqhealth.com/login/cerner-health/authenticated&sign_in_only=on","FL","y","y",""
"Citrus Memorial Health System","hospital","","http://www.citrusmh.com/patients/citrus-health.dot","FL","y","y","y"
"CJW Medical Center","hospital","","http://hcavirginia.com/patient-portal/","VA","y","y","y"
"Claiborne County Medical Center","hospital","","https://cmcnh.yourcarecommunity.com/;jsessionid=4D2C84C461A8D5F2824742E2D091F813#/createAdmin","MS","y","y","y"
"Claiborne Medical Center","hospital","","https://cmcnh.yourcarecommunity.com/;jsessionid=C53D8755AFE95F5B9BD2CB03E4F2544B#createAdmin","TN","y","y","y"
"Clara Barton Hospital","hospital","","https://clarabartonhospital.com/","KS","y","y","y"
"Clarendon Memorial Hospital","hospital","","https://myhealth.clarendonhealth.com/Phm-PhmPage.HomePage.WR.mthr?hcis=CLL.LIVEF&application=phm","SC","y","y","y"
"Clarinda Regional Health Center","hospital","","http://www.clarindahealth.com/patient_visitor_info/overview_new.asp","IA","y","y","y"
"Clarion Hospital","hospital","","https://www.clarionhospital.org/patient_portal.aspx","PA","y","y","y"
"Clark Fork Valley Hospital","hospital","","https://mychartwa.providence.org/mychart/","MT","y","y",""
"Clark Memorial Hospital","hospital","","https://www.clarkmemorial.org/patient-services/pre-register/","IN","y","y","y"
"Clark Physician Group","provider","","https://www.followmyhealth.com/","","y","y",""
"Clarke County Hospital","hospital","","http://www.clarkehosp.org","IA","y","y","y"
"Claudine Kimura, M.D., Inc.","provider","","https://www.followmyhealth.com/","","y","y",""
"Claxton-Hepburn Medical Center","hospital","","http://www.claxtonhepburn.org/patients-visitors/patient-portal.aspx","NY","y","y","y"
"Clay-Battelle Health Services Association","provider","","https://www.followmyhealth.com/","","y","y",""
"Clay County Hospital","hospital","","http://claycountyhospital.org/medical-records/","AL","y","y","y"
"Clay County Memorial Hospital","hospital","","http://www.ccmhospital.com/","TX","y","y","y"
"Clear Lake Regional Medical  Center","hospital","","http://clearlakermc.com/patient-portal/index.dot","TX","y","y",""
"Clearfield Hospital","hospital","","https://www.phhealthcare.org/about/my-ehealth-portal/page.aspx?id=1643","PA","","",""
"Clearwater Valley Hospital and Clinics","hospital","","https://mychart.smh-cvhc.org/PTAccess/?sub=Patient+Info","ID","y","y",""
"Cleveland Area Hospital","hospital","","http://www.clevelandareahospital.com/getpage.php?name=Patient_Portal&sub=Services","OK","y","y","y"
"Cleveland Clinic","provider","We are a nonprofit multispecialty academic medical center that integrates clinical and hospital care with research and education.","https://mychart.clevelandclinic.org/default.asp","OH","y","",""
"Cleveland Clinic Florida","hospital","","https://mychart.clevelandclinic.org/","FL","y","y","y"
"Cleveland Regional Medical Center","hospital","","https://my.carolinashealthcare.org/login.aspx?ReturnUrl=%2fdefault.aspx","NC","y","y","y"
"Clifton-Fine Hospital","hospital","","https://www.mymedicalencounters.com/?sub=","NY","y","y","y"
"Clifton Springs Hospital and Clinic","hospital","","http://www.cliftonspringshospital.org/My-Health-Portal.html","NY","y","y","y"
"Clifton Springs Hospital and Clinics","provider","CSH is a hospital founded in 1850 located in Clifton Springs NY about equidistant from Rochester and Syracuse in Upstate.","https://www.myhealthportal.cshosp.com/Phm-PhmPage.HomePage.WR.mthr?hcis=CLPWEB.LIVEF&application=PHM","NY","y","y","y"
"Clinics of North Texas","provider","","https://www.followmyhealth.com/","","y","y",""
"Cloud County Health Center","hospital","","https://www.mymedicalencounters.com/","KS","y","y",""
"Clovis Community Medical Center","hospital","","https://mychart.communitymedical.org/mychart/","CA","y","y",""
"Coastal Carolina Ob/Gyn","provider","","https://www.followmyhealth.com/","","y","y",""
"Coffeyville Regional Medical Center","hospital","","https://myhealth.crmcinc.org/Phm-PhmHome.HomePage.WR.mthr?hcis=CFRWEB.LIVEF&application=PHM","KS","y","y","y"
"Cogdell Memorial Hospital","hospital","","http://cogdell.yourcarecommunity.com/","TX","y","y","y"
"Cole Memorial","hospital","","https://portal.colememorial.org/","PA","y","y",""
"Coliseum Medical Centers","hospital","","http://coliseumhealthsystem.com/patient-portal/","GA","y","y","y"
"Coliseum Northside Hospital","hospital","","http://coliseumhealthsystem.com/patients/medical-records.dot","GA","y","y","y"
"College Station Medical Center","hospital","","http://www.csmedcenter.com/college-station-medical-center/myhealthhomepatientportal.aspx","TX","y","y","y"
"Colleton Medical Center","hospital","","http://colletonmedical.com/","SC","y","y","y"
"Collingsworth General Hospital","hospital","","http://www.collingsworthgeneral.net/","TX","y","y",""
"Colon, Stomach, &amp; Liver Center, Llc","provider","","https://www.followmyhealth.com/","","y","y",""
"Colorado Mountain Medical","provider","","https://www.followmyhealth.com/","","y","y",""
"Colorado Plains Medical Center","hospital","","http://www.coloradoplainsmedicalcenter.com/","CO","y","",""
"Colquitt Regional Medical Center","hospital","","http://www.colquittregional.com/Content/Default/19/649/0/patients-and-visitors/patient-portal.html","GA","y","y","y"
"Columbia Basin Hospital","hospital","","http://www.cbha.org/Pages/Default.aspx","WA","y","y","y"
"Columbia Center","hospital","","http://www.columbia-stmarys.org/Patient_Visitor_Information","WI","y","y","y"
"Columbia Memorial Hospital","hospital","","http://www.columbiamemorial.org/patients-portal.aspx","NY","y","y","y"
"Columbia Nephrology","provider","","https://www.followmyhealth.com/","","y","y",""
"Columbia-St. Mary's","provider","Columbia St. Mary’s, sponsored by Ascension Health and Columbia Health System, is an organization comprised of four hospitals, over 60 community clinics, the Columbia College of Nursing, and convenient access to several Urgent/Express Care Centers.","https://cernerhealth.com/oauth/authenticate?client_id=7364b6d66ca04d39a4a1f3056e5e5bc7&redirect_uri=https://columbiastmarys.iqhealth.com/login/cerner-health/authenticated&sign_in_only=on","WI","y","y",""
"Columbia St. Mary's Hospital Milwaukee","hospital","","https://cernerhealth.com/oauth/authenticate?client_id=7364b6d66ca04d39a4a1f3056e5e5bc7&redirect_uri=https://columbiastmarys.iqhealth.com/login/cerner-health/authenticated&sign_in_only=on","WI","y","y","y"
"Columbia St. Mary's Ozaukee Hospital","hospital","","http://www.columbia-stmarys.org/CSMConnect","WI","y","y","y"
"ColumbiaDoctors","provider","","https://www.followmyhealth.com/","","y","y",""
"Columbus Community Hospital","hospital","","http://www.columbusch.com/","TX","y","y","y"
"Columbus Neighborhood Health Center","provider","","https://www.followmyhealth.com/","","y","y",""
"Columbus Regional Healthcare System","hospital","","http://www.crhealthcare.org/patients-visitors/","NC","y","y","y"
"Columbus Regional Hospital","hospital","","https://cernerhealth.com/oauth/re-authenticate?client_id=a1270377f6584d8bb3bb4b0c0422ae25&redirect_uri=https://mycrh.iqhealth.com/login/cerner-health/authenticated&sign_in_only=on","IN","y","y","y"
"Colusa Regional Medical Center","hospital","","https://crmc.yourcarecommunity.com/","CA","y","",""
"Comanche County Hospital","hospital","","http://www.ccmhonline.com/my-memorial-health","KS","y","y","y"
"Comanche County Medical Center","hospital","","https://app.relayhealth.com/security/login/default.aspx?bid=CCMH_My%20Health","TX","","",""
"Comanche County Memorial Hospital","hospital","","http://www.ccmhonline.com/my-memorial-health","OK","y","","y"
"Commonwealth ENT Associates","provider","","https://www.followmyhealth.com/","","y","y",""
"Commonwealth Pain Specialists","provider","","https://www.followmyhealth.com/","","y","y",""
"Commonwealth Womens Care","provider","","https://www.followmyhealth.com/","","y","y",""
"Community ENT and Allergy, PLLC","provider","","https://www.followmyhealth.com/","","y","y",""
"Community Health Center of Branch County","hospital","","https://patientconnect.chcbc.com/ptaccess/","MI","y","y","y"
"Community Health Network","provider","Deeply committed to the communities we serve, we enhance health and well-being.","https://mychart.ecommunity.com/","IN","y","",""
"Community Healthcare System","provider","CFNI is a not-for-profit organization that provides leadership and resources for the enhancement of health and the quality of life in Northwest Indiana.","https://mychart.comhs.org","IN","y","",""
"Community Hospital","hospital","","https://patient.bannerhealth.com/login.aspx?rd=mybanner","CO","y","y","y"
"Community Hospital-Fairfax","hospital","","http://www.fairfaxmed.com/patientvisitor/patients/","MO","","",""
"Community Hospital of Long Beach","hospital","","https://www.memorialcare.org/guides-tools/mymemorialcare","CA","y","y","y"
"Community Hospital of the Monterey Peninsula","hospital","","http://www.chomp.org/","CA","y","y","y"
"Community Medical Center","provider","","https://www.followmyhealth.com/","","y","y",""
"Community Memorial Health System","hospital","","https://communitylink.cmhshealth.org/login.aspx?ReturnUrl=/default.aspx","CA","y","y","y"
"Community Memorial Healthcare","hospital","","http://www.cmhcare.org/","KS","y","y","y"
"Community Memorial Hospital","hospital","","http://www.cmhshealth.org/","NE","y","y","y"
"Community Westview Hospital","hospital","","http://www.ecommunity.com/s/westview-patients/patient-information/","IN","y","y","y"
"CompleteCare Cardiology","provider","","https://www.followmyhealth.com/","","y","y",""
"Comprehensive ENT","provider","","https://www.followmyhealth.com/","","y","y",""
"Comprehensive Internal Medicine","provider","","https://www.followmyhealth.com/","","y","y",""
"Concho County Hospital","hospital","","http://conchocountyhospital.com/articles/view/medical-records-5318ae5b-0194-467a-8912-4e1d0abbf8b0","TX","y","y",""
"Concord Hospital","hospital","","http://www.concordhospital.org/patients-visitors/patient-connect/","NH","y","y",""
"Conemaugh Health System","provider","","https://www.followmyhealth.com/","","y","y",""
"Conemaugh - Memorial Medical Center","provider","","https://www.followmyhealth.com/","","y","y",""
"Conemaugh - Meyersdale Medical","provider","","https://www.followmyhealth.com/","","y","y",""
"Conemaugh Meyersdale Medical Center","hospital","","https://conemaugh.followmyhealth.com/Login/Home/Index?authproviders=0&returnArea=PatientAccess#/Index","PA","y","y","y"
"Conemaugh - Miners Medical Center","provider","","https://www.followmyhealth.com/","","y","y",""
"Conemaugh Physician Group","provider","","https://www.followmyhealth.com/","","y","y",""
"Connecticut Children's Medical Center","hospital","","http://www.connecticutchildrens.org/patients-and-families/mychart/","CT","y","y","y"
"Conroe Regional Medical Center","hospital","","http://conroeregional.com/patient-portal/index.dot","TX","y","y","y"
"Contra Costa Regional Medical Center","hospital","","https://mycclink.cchealth.org/mycclink/","CA","y","y",""
"Conway Medical Center","hospital","","http://conwaymedicalcenter.com/PatientPortal.aspx","SC","","",""
"Conway Regional Medical Center","hospital","","http://www.conwayregional.org/mychart","AR","y","y","y"
"Cook County North Shore Hospital","hospital","","http://www.nshorehospital.com/index.php/patients-visitors","MN","y","y","y"
"Cook County North Shore Hospital and Care Center","provider","Acute Care\r\nOur 16 bed Critical Access facility offers medical inpatient, outpatient infusion therapy, inpatient rehabilitation, outpatient colonoscopy, labor & delivery, swing bed and cardiac rehab services. Our mission and goal for each and every patient is to provide an experience that is not only high quality, but also restful, recuperative, restorative and peaceful.\r\n\r\nEmergency Room\r\nA 24 hour physician staffed, 3 bed Emergency Room provides quick response for unplanned medical events. Nursing staff are required to maintain advanced cardiac and trauma training/skills and work with physicians in a team atmosphere to provide highly technical, yet personal and compassionate care for all ER patients.\r\nOutpatient Services\r\nWe offer the following Outpatient Services to our residents and visitors.\r\n\r\nAmbulance Service\r\nCardiac Rehab\r\nChemotherapy\r\nColonoscopy\r\nEKGs\r\nEye Care Services\r\nHome Health\r\nIV Infusion\r\nLaboratory\r\nNon Stress Tests – OB\r\nPalliative Care\r\nPT/OT Therapy\r\nRadiology Services: \r\nCat Scan/X-ray/Dexa Scan\r\nMRI/Ultrasound\r\nMammography","http://www.nshorehospital.com/index.php/mychart","MN","y","","y"
"Cook Hospital and Convalescent Nursing Care Unit","hospital","","http://www.cookhospital.org/myrecord.html","MN","y","y","y"
"Coon Memorial Hospital","hospital","","https://www.mymedicalencounters.com/?sub=Patient+Info","TX","y","y",""
"Cooper County Memorial Hospital","hospital","","https://myhealth.coopercountymemorialhospital.org/Phm-PhmPage.HomePage.WR.mthr?application=phm&hcis=CPC.LIVEF","MO","","",""
"Cooper University Health Care","hospital","","http://my.cooperhealth.org/","NJ","y","y","y"
"Coordinated Health Clinics","provider","","https://www.followmyhealth.com/","","y","y",""
"Copper Queen Community Hospital","hospital","","http://cqch.org/patient-info/patient-portal-2/","AZ","y","y","y"
"Corbyons &amp; Donohoe","provider","","https://www.followmyhealth.com/","","y","y",""
"Cornerstone Regional Hospital","hospital","","http://www.cornerstoneregional.com/patients-and-visitors/health-records-online","TX","","",""
"Corning Hospital","hospital","","https://e.guthrie.org/mychart/","NY","y","y","y"
"Corona Regional Medical Center","hospital","","http://www.coronaregional.com/patients-and-visitors/health-records-online","CA","y","y",""
"Coronado Medical Group, Inc","provider","","https://www.followmyhealth.com/","","y","y",""
"Corpus Christi Medical Center","hospital","","http://ccmedicalcenter.com/patient-portal/","TX","y","y","y"
"Cortland Regional Medical Center","hospital","","http://www.cortlandregional.org/patient-resources/patient-registration-patient-access-services","NY","y","y","y"
"Coryell Memorial Hospital","hospital","","https://cmhos.intelichart.com/PatientPortal/account/login?ReturnUrl=%2fPatientPortal%2f","TX","y","y","y"
"Cottage Health System","provider","","https://www.followmyhealth.com/","","y","y",""
"Cottage Hospital","hospital","","https://cottage.yourcarecommunity.com/","NH","y","y","y"
"Covenant Hospital-Levelland","hospital","","http://www.covenanthealth.org/Patients-and-Visitors/For-Patients.aspx","TX","y","",""
"Covenant Hospital Plainview","hospital","","http://www.covenanthealth.org/","TX","y","",""
"Covenant Medical Center","hospital","","http://www.covenanthealth.org/Patients-and-Visitors/For-Patients.aspx","TX","y","",""
"Covenant Medical Group","provider","","https://www.followmyhealth.com/","","y","y",""
"Coventry Health Care","insurance","A diversified national managed health care company based in Bethesda, Maryland, dedicated to delivering high-quality health care solutions at an affordable price. Coventry provides a full portfolio of risk and fee-based products including Medicare and Medicaid programs, group and individual health insurance, workers’ compensation solutions, and network rental services.","https://member.cvty.com/memberPortalWeb/appmanager/memberPortal/member","","y","",""
"Covington County Hospital","hospital","","https://www.mymedicalencounters.com/?sub=Patient+Info","MS","y","y","y"
"Cox Medical Center Branson","hospital","","http://www.coxhealth.com/body.cfm?id=6209","MO","y","y",""
"Cox Medical Centers","hospital","","http://www.coxhealth.com/body.cfm?id=6209","MO","y","y",""
"Cox Monett","hospital","","https://home2.coxhealth.com/coxhealthexpress_2/account/","MO","y","y","y"
"Cozad Community Hospital","hospital","","http://www.cozadhealthcare.com/index.php?option=com_content&view=article&id=16&Itemid=114","NE","y","y","y"
"Craig D. Fox","provider","Craig D. Fox is a solo Family Practitioner  located in Washington Pennsylvania. Our office believes that family medicine is a specialty dedicated to providing continuing and comprehensive health care with the patient in the center participating in their decision making. Our physician combines unique abilities including attitude, communications and technical skills, health maintenance,health promotion,counseling,education, preventative care and rehabilitation services. Dr Fox has utilized computer services for years having a full EMR, RX prescribing, and an active  patient portal.  This encourages patients to make their own appointments, review their test results ,email messages  and encouragement of decision making. Through these beliefs our office has participated in meaningful use since it's inception in 2011. We are actively working on MU2 second stage. Believing in quality care measurements and patient safety technical support is now essential for both the patient's, physician  and staff. Supporting the role that patient's should actively contribute to their health care decisions this office then structured to partnership with our physician, staff, patients,families and community to ensure that decisions are made respecting the patients' wants, needs, preferences, socioeconomic background and education.  With theses goals in mind we then actively engaged in the NCQA Patient Centered Medical Home process and achieved level 3 thoroughly incorporating all aspects into our daily care. Our efforts are to continually look at how we practice and to always strive to improve quality comprehensive care with emphasis on our patient 's health ,technical support, efficiency, cost effectiveness,  and ongoing medical expertise.","http://www.doctorcraigdfox.com","PA","y","y","y"
"Craig General Hospital","hospital","","http://www.craiggeneralhospital.com/#","OK","y","y",""
"Craig Kadooka, M.D.","provider","","https://www.followmyhealth.com/","","y","y",""
"Crane Memorial Hospital","hospital","","http://www.cranememorial.org/getpage.php?name=patientinfo&sub=Patient%20Info","TX","y","y","y"
"Crawford Memorial Hospital","hospital","","https://www.crawfordmh.org/patient/patientportal.html","IL","y","y","y"
"Crete Area Medical Center","hospital","","http://www.bryanhealth.com/locations/hospitals/crete-area-medical-center/","NE","y","y",""
"Crisp Regional Hospital","hospital","","https://www.crispregional.org/Content/Default/3/79/0/patient-resources/patient-portal.html","GA","y","y","y"
"Crosbyton Clinic Hospital","hospital","","http://www.crosbytonclinichospital.com/admissions.htm","TX","","",""
"Cross Timbers ENT","provider","","https://www.followmyhealth.com/","","y","y",""
"Crouse Hospital","hospital","","https://crouse.patientcompass.com/RA","NY","y","y","y"
"Crozer-Chester Medical Center","hospital","","https://myckhealth.crozer.org/portal/default.aspx","PA","y","y","y"
"Crystal Coast Family Practice","provider","","https://www.followmyhealth.com/","","y","y",""
"CSHP","provider","","https://www.followmyhealth.com/","","y","y",""
"CSS","provider","","https://www.followmyhealth.com/","","y","y",""
"Cuero Community Hospital","hospital","","http://www.cuerohospital.org/page.php?p=patient-portal","TX","y","y","y"
"Cullman Regional Medical Center","hospital","","https://www.crmchospital.com/home.aspx","AL","y","y","y"
"Culpeper Regional Hospital","hospital","","http://www.uvaculpeperhospital.com/patients-visitors/patients/myhealthconnection/","VA","y","y","y"
"Cumberland Medical Center","hospital","","http://www.cmchealthcare.org/patient-health-portal","TN","y","y","y"
"Curry General Hospital","hospital","","http://www.curryhealthnetwork.com/getpage.php?name=Patient_Portal&left=Patient+Information","OR","y","",""
"Cuyuna Regional Medical Center","hospital","","https://www.mychartweb.com/mychart/default.asp","MN","y","y","y"
"CVA","provider","","https://www.followmyhealth.com/","","y","y",""
"CVS Caremark","pharmacy","CVS Caremark provides pharmacy services through its over 7,000 CVS Pharmacy and Longs Drugs stores; its pharmacy benefit management, mail order and specialty pharmacy division, Caremark Pharmacy Services; its retail-based health clinic subsidiary, MinuteClinic; and its online pharmacy, CVS.com.","https://www.cvs.com/account/login.jsp?pagevalue=ephRxTie&screenname=/pharmacy/manage/tie-personal-rx.jsp&WT.ac=Pharmacyhome_Mainbanner_Authentication_41647_Nonauth_99999_Button_Text_AccessMyPrescriptions","GA,NC","y","y","y"
"D. W. McMillan Memorial Hospital","hospital","","https://www.nextmd.com/ud2/Login/Login.aspx","AL","y","y","y"
"Dale Medical Center","hospital","","https://www.mymedicalencounters.com/?sub=Patient+Information","AL","y","y","y"
"Dana-Farber Cancer Institute","hospital","","https://patientgateway.partners.org/public/","MA","y","",""
"Danbury Hospital","hospital","","http://www.danburyhospital.org/Patient-and-Visitor-Information","CT","y","y","y"
"Dani Bidros MD","provider","","https://www.followmyhealth.com/","","y","y",""
"Daniel Belcher, M.D. Inc.","provider","","https://www.followmyhealth.com/","","y","y",""
"Daniels Memorial Healthcare Center","hospital","","http://www.danielsmemorialhealthcare.org/contact.php","MT","y","y",""
"Danilo A. Dona, MD PC","provider","","https://www.followmyhealth.com/","","y","y",""
"Danville Gastroenterology Center","provider","","https://www.followmyhealth.com/","","y","y",""
"Danville Orthopaedic Clinic","provider","","https://www.followmyhealth.com/","","y","y",""
"Danville Women's Care, P.C.","provider","","https://www.followmyhealth.com/","","y","y",""
"Daphne Family Practice","provider","","https://www.followmyhealth.com/","","y","y",""
"Darin Awaya, M.D. Inc.","provider","","https://www.followmyhealth.com/","","y","y",""
"Dartmouth-Hitchcock","provider","Dartmouth-Hitchcock is a national leader in patient-centered health care and building a sustainable health system.","https://www.mydh.org/portal/","NH","y","",""
"Dartmouth-Hitchcock Medical Center","hospital","","http://www.dartmouth-hitchcock.org/medical-information/medical_records_release_forms.html","NH","y","y","y"
"Dauterive Hospital","hospital","","http://www.dauterivehospital.com/","LA","y","y","y"
"David M Zapf DO","provider","","https://www.followmyhealth.com/","","y","y",""
"David Ogden, MD","provider","","https://www.followmyhealth.com/","","y","y",""
"David R Buyer MD SC","provider","","https://www.followmyhealth.com/","","y","y",""
"Davis County Hospital","hospital","","https://app.relayhealth.com/","IA","y","y","y"
"De Queen Medical Center","hospital","","http://www.dequeenmedicalcenter.com/getpage.php?name=patientinfo","AR","","",""
"Deaconess Health System","provider","Deaconess Hospital is a two-campus healthcare and is one of the three trauma-care institutions serving the Evansville, Indiana, and Newburgh, Indiana Area.","https://www.viewmychart.com/","IN","y","",""
"Deaconess Hospital","hospital","","http://www.alliancehealthdeaconess.com/deaconess-hospital-okc/patient-resources.aspx","OK","y","y",""
"Dean Clinic","provider","Dean is a for-profit, integrated healthcare organization based in Madison, Wisconsin. Dean consists of a network of more than 60 clinics in south-central Wisconsin, Davis Duehr Dean eye care, insurance provider Dean Health Plan, and pharmacy benefits company Navitus Health Solutions. Approximately 500 physicians provide primary, specialty and tertiary care in the clinics. The system serves more than 300,000 health plan members","https://mychart.deancare.com","WI","y","",""
"Dearborn County Hospital","hospital","","http://www.dch.org/patients-visitors/dch-dch-physician-partners-patient-portals/","IN","y","y",""
"Decatur County General Hospital","hospital","","http://dcgh.org/wp/?page_id=129","TN","y","y",""
"Decatur County Hospital","hospital","","https://www.mymedicalencounters.com/","IA","y","y","y"
"Decatur County Memorial Hospital","hospital","","http://www.dcmh.net/patients-visitors/","IN","y","y","y"
"Decatur County Memorial Hospital - Physician Offices","hospital","","https://www.followmyhealth.com/","","y","y",""
